route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R1,DAILY,R1_D0_027,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_027,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_028,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_028,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_029,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_029,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_030,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_030,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_031,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_031,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_032,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_032,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_033,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_033,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_034,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_034,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_035,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_035,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_036,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_036,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_037,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_037,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_038,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_038,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_039,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_039,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_040,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_040,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_041,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_041,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_042,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_042,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_043,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_043,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_044,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_044,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_045,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_045,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_046,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_046,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_047,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_047,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_048,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_048,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_049,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_049,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_050,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_050,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_051,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_051,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_052,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_052,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_053,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_053,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_054,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_054,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_055,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_055,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_056,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_056,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_057,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_057,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_058,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_058,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_059,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_059,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_060,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_060,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_061,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_061,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_062,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_062,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_063,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_063,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_064,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_064,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_065,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_065,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_066,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_066,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_067,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_067,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_068,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_068,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_069,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_069,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_070,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_070,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_071,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_071,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_072,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_072,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_073,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_073,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_074,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_074,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_075,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_075,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_076,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_076,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_077,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_077,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_078,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_078,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_079,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_079,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_080,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_080,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_081,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_081,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_082,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_082,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_083,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_083,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_084,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_084,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_085,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_085,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_086,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_086,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_087,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_087,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_088,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_088,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_089,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_089,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_090,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R2,DAILY,R2_D0_001,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_001,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_002,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_002,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_003,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_003,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_004,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_004,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_005,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_005,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_006,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_006,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_007,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_007,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_008,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_008,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_009,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_009,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_010,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_010,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_011,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_011,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_012,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_012,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_013,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_013,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_014,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_014,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_015,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_015,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_016,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_016,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_017,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_017,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_018,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_018,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_019,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_019,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_020,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_020,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_021,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_021,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_022,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_022,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_023,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_023,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_024,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_024,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_025,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_025,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_026,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_026,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_027,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_027,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_028,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_028,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_029,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_029,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_030,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_030,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_031,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_031,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_032,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_032,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_033,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_033,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_034,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_034,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_035,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_035,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_036,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_036,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_037,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_037,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_038,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_038,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_039,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_039,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_040,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_040,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_041,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_041,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_042,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_042,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_043,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_043,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_044,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_044,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_045,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_045,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_046,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_046,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_047,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_047,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_048,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_048,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_049,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_049,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_050,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_050,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_051,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_051,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_052,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_052,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_053,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_053,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_054,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_054,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_055,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_055,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_056,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_056,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_057,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_057,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_058,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_058,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_059,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_059,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_060,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_060,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_061,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_061,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_062,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_062,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_063,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_063,Singanallur,1,R2_B02,R2_D1
R2,DAILY,R2_D0_064,Peelamedu,0,R2_B03,R2_D0
R2,DAILY,R2_D1_064,Singanallur,1,R2_B05,R2_D1
R2,DAILY,R2_D0_065,Peelamedu,0,R2_B06,R2_D0
R2,DAILY,R2_D1_065,Singanallur,1,R2_B01,R2_D1
R2,DAILY,R2_D0_066,Peelamedu,0,R2_B02,R2_D0
R2,DAILY,R2_D1_066,Singanallur,1,R2_B04,R2_D1
R2,DAILY,R2_D0_067,Peelamedu,0,R2_B05,R2_D0
R2,DAILY,R2_D1_067,Singanallur,1,R2_B03,R2_D1
R2,DAILY,R2_D0_068,Peelamedu,0,R2_B01,R2_D0
R2,DAILY,R2_D1_068,Singanallur,1,R2_B06,R2_D1
R2,DAILY,R2_D0_069,Peelamedu,0,R2_B04,R2_D0
R2,DAILY,R2_D1_069,Singanallur,1,R2_B02,R2_D1
R3,DAILY,R3_D0_001,Bharathiyar University,0,R3_B01,R3_D0
R3,DAILY,R3_D1_001,Podanur Junction,1,R3_B02,R3_D1
R3,DAILY,R3_D0_002,Bharathiyar University,0,R3_B03,R3_D0
R3,DAILY,R3_D1_002,Podanur Junction,1,R3_B01,R3_D1
R3,DAILY,R3_D0_003,Bharathiyar University,0,R3_B02,R3_D0
R3,DAILY,R3_D1_003,Podanur Junction,1,R3_B03,R3_D1
R3,DAILY,R3_D0_004,Bharathiyar University,0,R3_B01,R3_D0
R3,DAILY,R3_D1_004,Podanur Junction,1,R3_B02,R3_D1
R3,DAILY,R3_D0_005,Bharathiyar University,0,R3_B03,R3_D0
R3,DAILY,R3_D0_006,Bharathiyar University,0,R3_B02,R3_D0
R3,DAILY,R3_D1_005,Podanur Junction,1,R3_B01,R3_D1
R3,DAILY,R3_D0_007,Bharathiyar University,0,R3_B04,R3_D0
R3,DAILY,R3_D1_006,Podanur Junction,1,R3_B03,R3_D1
R3,DAILY,R3_D0_008,Bharathiyar University,0,R3_B01,R3_D0
R3,DAILY,R3_D1_007,Podanur Junction,1,R3_B02,R3_D1
R3,DAILY,R3_D0_009,Bharathiyar University,0,R3_B03,R3_D0
R3,DAILY,R3_D1_008,Podanur Junction,1,R3_B04,R3_D1
R3,DAILY,R3_D0_010,Bharathiyar University,0,R3_B02,R3_D0
R3,DAILY,R3_D1_009,Podanur Junction,1,R3_B01,R3_D1
R3,DAILY,R3_D0_011,Bharathiyar University,0,R3_B04,R3_D0
R3,DAILY,R3_D1_010,Podanur Junction,1,R3_B03,R3_D1
R3,DAILY,R3_D0_012,Bharathiyar University,0,R3_B01,R3_D0
R3,DAILY,R3_D1_011,Podanur Junction,1,R3_B02,R3_D1
R3,DAILY,R3_D0_013,Bharathiyar University,0,R3_B03,R3_D0
R3,DAILY,R3_D1_012,Podanur Junction,1,R3_B04,R3_D1
R3,DAILY,R3_D0_014,Bharathiyar University,0,R3_B02,R3_D0
