trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
R1_D1_003,06:16:18,06:16:53,CBE003,5,2228.4
R1_D1_003,06:18:29,06:19:04,CBE002,6,2735.6
R1_D1_003,06:20:42,06:20:42,CBE001,7,3254.2
R1_D0_004,06:15:00,06:15:00,CBE001,1,0.0
R1_D0_004,06:16:38,06:17:13,CBE002,2,518.6
R1_D0_004,06:18:49,06:19:24,CBE003,3,1025.8
R1_D0_004,06:21:23,06:21:58,CBE004,4,1652.4
R1_D0_004,06:23:49,06:24:24,CBE005,5,2237.3
R1_D0_004,06:26:08,06:26:43,CBE006,6,2786.8
R1_D0_004,06:28:12,06:28:12,CBE007,7,3254.2
R1_D1_004,06:22:30,06:22:30,CBE007,1,0.0
R1_D1_004,06:23:59,06:24:34,CBE006,2,467.4
R1_D1_004,06:26:18,06:26:53,CBE005,3,1016.9
R1_D1_004,06:28:44,06:29:19,CBE004,4,1601.8
R1_D1_004,06:31:18,06:31:53,CBE003,5,2228.4
R1_D1_004,06:33:29,06:34:04,CBE002,6,2735.6
R1_D1_004,06:35:42,06:35:42,CBE001,7,3254.2
R1_D0_005,06:30:00,06:30:00,CBE001,1,0.0
R1_D0_005,06:31:38,06:32:13,CBE002,2,518.6
R1_D0_005,06:33:49,06:34:24,CBE003,3,1025.8
R1_D0_005,06:36:23,06:36:58,CBE004,4,1652.4
R1_D0_005,06:38:49,06:39:24,CBE005,5,2237.3
R1_D0_005,06:41:08,06:41:43,CBE006,6,2786.8
R1_D0_005,06:43:12,06:43:12,CBE007,7,3254.2
R1_D1_005,06:37:30,06:37:30,CBE007,1,0.0
R1_D1_005,06:38:59,06:39:34,CBE006,2,467.4
R1_D1_005,06:41:18,06:41:53,CBE005,3,1016.9
R1_D1_005,06:43:44,06:44:19,CBE004,4,1601.8
R1_D1_005,06:46:18,06:46:53,CBE003,5,2228.4
R1_D1_005,06:48:29,06:49:04,CBE002,6,2735.6
R1_D1_005,06:50:42,06:50:42,CBE001,7,3254.2
R1_D0_006,06:45:00,06:45:00,CBE001,1,0.0
R1_D0_006,06:46:38,06:47:13,CBE002,2,518.6
R1_D0_006,06:48:49,06:49:24,CBE003,3,1025.8
R1_D0_006,06:51:23,06:51:58,CBE004,4,1652.4
R1_D0_006,06:53:49,06:54:24,CBE005,5,2237.3
R1_D0_006,06:56:08,06:56:43,CBE006,6,2786.8
R1_D0_006,06:58:12,06:58:12,CBE007,7,3254.2
R1_D1_006,06:52:30,06:52:30,CBE007,1,0.0
R1_D1_006,06:53:59,06:54:34,CBE006,2,467.4
R1_D1_006,06:56:18,06:56:53,CBE005,3,1016.9
R1_D1_006,06:58:44,06:59:19,CBE004,4,1601.8
R1_D1_006,07:01:18,07:01:53,CBE003,5,2228.4
R1_D1_006,07:03:29,07:04:04,CBE002,6,2735.6
R1_D1_006,07:05:42,07:05:42,CBE001,7,3254.2
R1_D0_007,07:00:00,07:00:00,CBE001,1,0.0
R1_D0_007,07:01:38,07:02:13,CBE002,2,518.6
R1_D0_007,07:03:49,07:04:24,CBE003,3,1025.8
R1_D0_007,07:06:23,07:06:58,CBE004,4,1652.4
R1_D0_007,07:08:49,07:09:24,CBE005,5,2237.3
R1_D0_007,07:11:08,07:11:43,CBE006,6,2786.8
R1_D0_007,07:13:12,07:13:12,CBE007,7,3254.2
R1_D1_007,07:07:30,07:07:30,CBE007,1,0.0
R1_D1_007,07:08:59,07:09:34,CBE006,2,467.4
R1_D1_007,07:11:18,07:11:53,CBE005,3,1016.9
R1_D1_007,07:13:44,07:14:19,CBE004,4,1601.8
R1_D1_007,07:16:18,07:16:53,CBE003,5,2228.4
R1_D1_007,07:18:29,07:19:04,CBE002,6,2735.6
R1_D1_007,07:20:42,07:20:42,CBE001,7,3254.2
R1_D0_008,07:08:00,07:08:00,CBE001,1,0.0
R1_D0_008,07:09:38,07:10:13,CBE002,2,518.6
R1_D0_008,07:11:49,07:12:24,CBE003,3,1025.8
R1_D0_008,07:14:23,07:14:58,CBE004,4,1652.4
R1_D0_008,07:16:49,07:17:24,CBE005,5,2237.3
R1_D0_008,07:19:08,07:19:43,CBE006,6,2786.8
R1_D0_008,07:21:12,07:21:12,CBE007,7,3254.2
R1_D1_008,07:15:30,07:15:30,CBE007,1,0.0
R1_D1_008,07:16:59,07:17:34,CBE006,2,467.4
R1_D1_008,07:19:18,07:19:53,CBE005,3,1016.9
R1_D1_008,07:21:44,07:22:19,CBE004,4,1601.8
R1_D1_008,07:24:18,07:24:53,CBE003,5,2228.4
R1_D1_008,07:26:29,07:27:04,CBE002,6,2735.6
R1_D1_008,07:28:42,07:28:42,CBE001,7,3254.2
R1_D0_009,07:16:00,07:16:00,CBE001,1,0.0
R1_D0_009,07:17:38,07:18:13,CBE002,2,518.6
R1_D0_009,07:19:49,07:20:24,CBE003,3,1025.8
R1_D0_009,07:22:23,07:22:58,CBE004,4,1652.4
R1_D0_009,07:24:49,07:25:24,CBE005,5,2237.3
R1_D0_009,07:27:08,07:27:43,CBE006,6,2786.8
R1_D0_009,07:29:12,07:29:12,CBE007,7,3254.2
R1_D1_009,07:23:30,07:23:30,CBE007,1,0.0
R1_D1_009,07:24:59,07:25:34,CBE006,2,467.4
R1_D1_009,07:27:18,07:27:53,CBE005,3,1016.9
R1_D1_009,07:29:44,07:30:19,CBE004,4,1601.8
R1_D1_009,07:32:18,07:32:53,CBE003,5,2228.4
R1_D1_009,07:34:29,07:35:04,CBE002,6,2735.6
R1_D1_009,07:36:42,07:36:42,CBE001,7,3254.2
R1_D0_010,07:24:00,07:24:00,CBE001,1,0.0
R1_D0_010,07:25:38,07:26:13,CBE002,2,518.6
R1_D0_010,07:27:49,07:28:24,CBE003,3,1025.8
R1_D0_010,07:30:23,07:30:58,CBE004,4,1652.4
R1_D0_010,07:32:49,07:33:24,CBE005,5,2237.3
R1_D0_010,07:35:08,07:35:43,CBE006,6,2786.8
R1_D0_010,07:37:12,07:37:12,CBE007,7,3254.2
R1_D1_010,07:31:30,07:31:30,CBE007,1,0.0
R1_D1_010,07:32:59,07:33:34,CBE006,2,467.4
R1_D1_010,07:35:18,07:35:53,CBE005,3,1016.9
R1_D1_010,07:37:44,07:38:19,CBE004,4,1601.8
R1_D1_010,07:40:18,07:40:53,CBE003,5,2228.4
R1_D1_010,07:42:29,07:43:04,CBE002,6,2735.6
R1_D1_010,07:44:42,07:44:42,CBE001,7,3254.2
R1_D0_011,07:32:00,07:32:00,CBE001,1,0.0
R1_D0_011,07:33:38,07:34:13,CBE002,2,518.6
R1_D0_011,07:35:49,07:36:24,CBE003,3,1025.8
R1_D0_011,07:38:23,07:38:58,CBE004,4,1652.4
R1_D0_011,07:40:49,07:41:24,CBE005,5,2237.3
R1_D0_011,07:43:08,07:43:43,CBE006,6,2786.8
R1_D0_011,07:45:12,07:45:12,CBE007,7,3254.2
R1_D1_011,07:39:30,07:39:30,CBE007,1,0.0
R1_D1_011,07:40:59,07:41:34,CBE006,2,467.4
R1_D1_011,07:43:18,07:43:53,CBE005,3,1016.9
R1_D1_011,07:45:44,07:46:19,CBE004,4,1601.8
R1_D1_011,07:48:18,07:48:53,CBE003,5,2228.4
R1_D1_011,07:50:29,07:51:04,CBE002,6,2735.6
R1_D1_011,07:52:42,07:52:42,CBE001,7,3254.2
R1_D0_012,07:40:00,07:40:00,CBE001,1,0.0
R1_D0_012,07:41:38,07:42:13,CBE002,2,518.6
R1_D0_012,07:43:49,07:44:24,CBE003,3,1025.8
R1_D0_012,07:46:23,07:46:58,CBE004,4,1652.4
R1_D0_012,07:48:49,07:49:24,CBE005,5,2237.3
R1_D0_012,07:51:08,07:51:43,CBE006,6,2786.8
R1_D0_012,07:53:12,07:53:12,CBE007,7,3254.2
R1_D1_012,07:47:30,07:47:30,CBE007,1,0.0
R1_D1_012,07:48:59,07:49:34,CBE006,2,467.4
R1_D1_012,07:51:18,07:51:53,CBE005,3,1016.9
R1_D1_012,07:53:44,07:54:19,CBE004,4,1601.8
R1_D1_012,07:56:18,07:56:53,CBE003,5,2228.4
R1_D1_012,07:58:29,07:59:04,CBE002,6,2735.6
R1_D1_012,08:00:42,08:00:42,CBE001,7,3254.2
R1_D0_013,07:48:00,07:48:00,CBE001,1,0.0
R1_D0_013,07:49:38,07:50:13,CBE002,2,518.6
R1_D0_013,07:51:49,07:52:24,CBE003,3,1025.8
R1_D0_013,07:54:23,07:54:58,CBE004,4,1652.4
R1_D0_013,07:56:49,07:57:24,CBE005,5,2237.3
R1_D0_013,07:59:08,07:59:43,CBE006,6,2786.8
R1_D0_013,08:01:12,08:01:12,CBE007,7,3254.2
R1_D1_013,07:55:30,07:55:30,CBE007,1,0.0
R1_D1_013,07:56:59,07:57:34,CBE006,2,467.4
R1_D1_013,07:59:18,07:59:53,CBE005,3,1016.9
R1_D1_013,08:01:44,08:02:19,CBE004,4,1601.8
R1_D1_013,08:04:18,08:04:53,CBE003,5,2228.4
R1_D1_013,08:06:29,08:07:04,CBE002,6,2735.6
R1_D1_013,08:08:42,08:08:42,CBE001,7,3254.2
R1_D0_014,07:56:00,07:56:00,CBE001,1,0.0
R1_D0_014,07:57:38,07:58:13,CBE002,2,518.6
R1_D0_014,07:59:49,08:00:24,CBE003,3,1025.8
R1_D0_014,08:02:23,08:02:58,CBE004,4,1652.4
R1_D0_014,08:04:49,08:05:24,CBE005,5,2237.3
R1_D0_014,08:07:08,08:07:43,CBE006,6,2786.8
R1_D0_014,08:09:12,08:09:12,CBE007,7,3254.2
R1_D1_014,08:03:30,08:03:30,CBE007,1,0.0
R1_D1_014,08:04:59,08:05:34,CBE006,2,467.4
R1_D1_014,08:07:18,08:07:53,CBE005,3,1016.9
R1_D1_014,08:09:44,08:10:19,CBE004,4,1601.8
R1_D1_014,08:12:18,08:12:53,CBE003,5,2228.4
R1_D1_014,08:14:29,08:15:04,CBE002,6,2735.6
R1_D1_014,08:16:42,08:16:42,CBE001,7,3254.2
R1_D0_015,08:04:00,08:04:00,CBE001,1,0.0
R1_D0_015,08:05:38,08:06:13,CBE002,2,518.6
R1_D0_015,08:07:49,08:08:24,CBE003,3,1025.8
R1_D0_015,08:10:23,08:10:58,CBE004,4,1652.4
R1_D0_015,08:12:49,08:13:24,CBE005,5,2237.3
R1_D0_015,08:15:08,08:15:43,CBE006,6,2786.8
R1_D0_015,08:17:12,08:17:12,CBE007,7,3254.2
R1_D1_015,08:11:30,08:11:30,CBE007,1,0.0
R1_D1_015,08:12:59,08:13:34,CBE006,2,467.4
R1_D1_015,08:15:18,08:15:53,CBE005,3,1016.9
R1_D1_015,08:17:44,08:18:19,CBE004,4,1601.8
R1_D1_015,08:20:18,08:20:53,CBE003,5,2228.4
R1_D1_015,08:22:29,08:23:04,CBE002,6,2735.6
R1_D1_015,08:24:42,08:24:42,CBE001,7,3254.2
R1_D0_016,08:12:00,08:12:00,CBE001,1,0.0
R1_D0_016,08:13:38,08:14:13,CBE002,2,518.6
R1_D0_016,08:15:49,08:16:24,CBE003,3,1025.8
R1_D0_016,08:18:23,08:18:58,CBE004,4,1652.4
R1_D0_016,08:20:49,08:21:24,CBE005,5,2237.3
R1_D0_016,08:23:08,08:23:43,CBE006,6,2786.8
R1_D0_016,08:25:12,08:25:12,CBE007,7,3254.2
R1_D1_016,08:19:30,08:19:30,CBE007,1,0.0
R1_D1_016,08:20:59,08:21:34,CBE006,2,467.4
R1_D1_016,08:23:18,08:23:53,CBE005,3,1016.9
R1_D1_016,08:25:44,08:26:19,CBE004,4,1601.8
R1_D1_016,08:28:18,08:28:53,CBE003,5,2228.4
R1_D1_016,08:30:29,08:31:04,CBE002,6,2735.6
R1_D1_016,08:32:42,08:32:42,CBE001,7,3254.2
R1_D0_017,08:20:00,08:20:00,CBE001,1,0.0
R1_D0_017,08:21:38,08:22:13,CBE002,2,518.6
R1_D0_017,08:23:49,08:24:24,CBE003,3,1025.8
R1_D0_017,08:26:23,08:26:58,CBE004,4,1652.4
R1_D0_017,08:28:49,08:29:24,CBE005,5,2237.3
R1_D0_017,08:31:08,08:31:43,CBE006,6,2786.8
R1_D0_017,08:33:12,08:33:12,CBE007,7,3254.2
R1_D1_017,08:27:30,08:27:30,CBE007,1,0.0
R1_D1_017,08:28:59,08:29:34,CBE006,2,467.4
R1_D1_017,08:31:18,08:31:53,CBE005,3,1016.9
R1_D1_017,08:33:44,08:34:19,CBE004,4,1601.8
R1_D1_017,08:36:18,08:36:53,CBE003,5,2228.4
R1_D1_017,08:38:29,08:39:04,CBE002,6,2735.6
R1_D1_017,08:40:42,08:40:42,CBE001,7,3254.2
R1_D0_018,08:28:00,08:28:00,CBE001,1,0.0
R1_D0_018,08:29:38,08:30:13,CBE002,2,518.6
R1_D0_018,08:31:49,08:32:24,CBE003,3,1025.8
R1_D0_018,08:34:23,08:34:58,CBE004,4,1652.4
R1_D0_018,08:36:49,08:37:24,CBE005,5,2237.3
R1_D0_018,08:39:08,08:39:43,CBE006,6,2786.8
R1_D0_018,08:41:12,08:41:12,CBE007,7,3254.2
R1_D1_018,08:35:30,08:35:30,CBE007,1,0.0
R1_D1_018,08:36:59,08:37:34,CBE006,2,467.4
R1_D1_018,08:39:18,08:39:53,CBE005,3,1016.9
R1_D1_018,08:41:44,08:42:19,CBE004,4,1601.8
R1_D1_018,08:44:18,08:44:53,CBE003,5,2228.4
R1_D1_018,08:46:29,08:47:04,CBE002,6,2735.6
R1_D1_018,08:48:42,08:48:42,CBE001,7,3254.2
R1_D0_019,08:36:00,08:36:00,CBE001,1,0.0
R1_D0_019,08:37:38,08:38:13,CBE002,2,518.6
R1_D0_019,08:39:49,08:40:24,CBE003,3,1025.8
R1_D0_019,08:42:23,08:42:58,CBE004,4,1652.4
R1_D0_019,08:44:49,08:45:24,CBE005,5,2237.3
R1_D0_019,08:47:08,08:47:43,CBE006,6,2786.8
R1_D0_019,08:49:12,08:49:12,CBE007,7,3254.2
R1_D1_019,08:43:30,08:43:30,CBE007,1,0.0
R1_D1_019,08:44:59,08:45:34,CBE006,2,467.4
R1_D1_019,08:47:18,08:47:53,CBE005,3,1016.9
R1_D1_019,08:49:44,08:50:19,CBE004,4,1601.8
R1_D1_019,08:52:18,08:52:53,CBE003,5,2228.4
R1_D1_019,08:54:29,08:55:04,CBE002,6,2735.6
R1_D1_019,08:56:42,08:56:42,CBE001,7,3254.2
R1_D0_020,08:44:00,08:44:00,CBE001,1,0.0
R1_D0_020,08:45:38,08:46:13,CBE002,2,518.6
R1_D0_020,08:47:49,08:48:24,CBE003,3,1025.8
R1_D0_020,08:50:23,08:50:58,CBE004,4,1652.4
R1_D0_020,08:52:49,08:53:24,CBE005,5,2237.3
R1_D0_020,08:55:08,08:55:43,CBE006,6,2786.8
R1_D0_020,08:57:12,08:57:12,CBE007,7,3254.2
R1_D1_020,08:51:30,08:51:30,CBE007,1,0.0
R1_D1_020,08:52:59,08:53:34,CBE006,2,467.4
R1_D1_020,08:55:18,08:55:53,CBE005,3,1016.9
R1_D1_020,08:57:44,08:58:19,CBE004,4,1601.8
R1_D1_020,09:00:18,09:00:53,CBE003,5,2228.4
R1_D1_020,09:02:29,09:03:04,CBE002,6,2735.6
R1_D1_020,09:04:42,09:04:42,CBE001,7,3254.2
R1_D0_021,08:52:00,08:52:00,CBE001,1,0.0
R1_D0_021,08:53:38,08:54:13,CBE002,2,518.6
R1_D0_021,08:55:49,08:56:24,CBE003,3,1025.8
R1_D0_021,08:58:23,08:58:58,CBE004,4,1652.4
R1_D0_021,09:00:49,09:01:24,CBE005,5,2237.3
R1_D0_021,09:03:08,09:03:43,CBE006,6,2786.8
R1_D0_021,09:05:12,09:05:12,CBE007,7,3254.2
R1_D1_021,08:59:30,08:59:30,CBE007,1,0.0
R1_D1_021,09:00:59,09:01:34,CBE006,2,467.4
R1_D1_021,09:03:18,09:03:53,CBE005,3,1016.9
R1_D1_021,09:05:44,09:06:19,CBE004,4,1601.8
R1_D1_021,09:08:18,09:08:53,CBE003,5,2228.4
R1_D1_021,09:10:29,09:11:04,CBE002,6,2735.6
R1_D1_021,09:12:42,09:12:42,CBE001,7,3254.2
R1_D0_022,09:00:00,09:00:00,CBE001,1,0.0
R1_D0_022,09:01:38,09:02:13,CBE002,2,518.6
R1_D0_022,09:03:49,09:04:24,CBE003,3,1025.8
R1_D0_022,09:06:23,09:06:58,CBE004,4,1652.4
R1_D0_022,09:08:49,09:09:24,CBE005,5,2237.3
R1_D0_022,09:11:08,09:11:43,CBE006,6,2786.8
R1_D0_022,09:13:12,09:13:12,CBE007,7,3254.2
R1_D1_022,09:07:30,09:07:30,CBE007,1,0.0
R1_D1_022,09:08:59,09:09:34,CBE006,2,467.4
R1_D1_022,09:11:18,09:11:53,CBE005,3,1016.9
R1_D1_022,09:13:44,09:14:19,CBE004,4,1601.8
R1_D1_022,09:16:18,09:16:53,CBE003,5,2228.4
R1_D1_022,09:18:29,09:19:04,CBE002,6,2735.6
R1_D1_022,09:20:42,09:20:42,CBE001,7,3254.2
R1_D0_023,09:08:00,09:08:00,CBE001,1,0.0
R1_D0_023,09:09:38,09:10:13,CBE002,2,518.6
R1_D0_023,09:11:49,09:12:24,CBE003,3,1025.8
R1_D0_023,09:14:23,09:14:58,CBE004,4,1652.4
R1_D0_023,09:16:49,09:17:24,CBE005,5,2237.3
R1_D0_023,09:19:08,09:19:43,CBE006,6,2786.8
R1_D0_023,09:21:12,09:21:12,CBE007,7,3254.2
R1_D1_023,09:15:30,09:15:30,CBE007,1,0.0
R1_D1_023,09:16:59,09:17:34,CBE006,2,467.4
R1_D1_023,09:19:18,09:19:53,CBE005,3,1016.9
R1_D1_023,09:21:44,09:22:19,CBE004,4,1601.8
R1_D1_023,09:24:18,09:24:53,CBE003,5,2228.4
R1_D1_023,09:26:29,09:27:04,CBE002,6,2735.6
R1_D1_023,09:28:42,09:28:42,CBE001,7,3254.2
R1_D0_024,09:16:00,09:16:00,CBE001,1,0.0
R1_D0_024,09:17:38,09:18:13,CBE002,2,518.6
R1_D0_024,09:19:49,09:20:24,CBE003,3,1025.8
R1_D0_024,09:22:23,09:22:58,CBE004,4,1652.4
R1_D0_024,09:24:49,09:25:24,CBE005,5,2237.3
R1_D0_024,09:27:08,09:27:43,CBE006,6,2786.8
R1_D0_024,09:29:12,09:29:12,CBE007,7,3254.2
R1_D1_024,09:23:30,09:23:30,CBE007,1,0.0
R1_D1_024,09:24:59,09:25:34,CBE006,2,467.4
R1_D1_024,09:27:18,09:27:53,CBE005,3,1016.9
R1_D1_024,09:29:44,09:30:19,CBE004,4,1601.8
R1_D1_024,09:32:18,09:32:53,CBE003,5,2228.4
R1_D1_024,09:34:29,09:35:04,CBE002,6,2735.6
R1_D1_024,09:36:42,09:36:42,CBE001,7,3254.2
R1_D0_025,09:24:00,09:24:00,CBE001,1,0.0
R1_D0_025,09:25:38,09:26:13,CBE002,2,518.6
R1_D0_025,09:27:49,09:28:24,CBE003,3,1025.8
R1_D0_025,09:30:23,09:30:58,CBE004,4,1652.4
R1_D0_025,09:32:49,09:33:24,CBE005,5,2237.3
R1_D0_025,09:35:08,09:35:43,CBE006,6,2786.8
R1_D0_025,09:37:12,09:37:12,CBE007,7,3254.2
R1_D1_025,09:31:30,09:31:30,CBE007,1,0.0
R1_D1_025,09:32:59,09:33:34,CBE006,2,467.4
R1_D1_025,09:35:18,09:35:53,CBE005,3,1016.9
R1_D1_025,09:37:44,09:38:19,CBE004,4,1601.8
R1_D1_025,09:40:18,09:40:53,CBE003,5,2228.4
R1_D1_025,09:42:29,09:43:04,CBE002,6,2735.6
R1_D1_025,09:44:42,09:44:42,CBE001,7,3254.2
R1_D0_026,09:32:00,09:32:00,CBE001,1,0.0
R1_D0_026,09:33:38,09:34:13,CBE002,2,518.6
R1_D0_026,09:35:49,09:36:24,CBE003,3,1025.8
R1_D0_026,09:38:23,09:38:58,CBE004,4,1652.4
R1_D0_026,09:40:49,09:41:24,CBE005,5,2237.3
R1_D0_026,09:43:08,09:43:43,CBE006,6,2786.8
R1_D0_026,09:45:12,09:45:12,CBE007,7,3254.2
R1_D1_026,09:39:30,09:39:30,CBE007,1,0.0
R1_D1_026,09:40:59,09:41:34,CBE006,2,467.4
R1_D1_026,09:43:18,09:43:53,CBE005,3,1016.9
R1_D1_026,09:45:44,09:46:19,CBE004,4,1601.8
R1_D1_026,09:48:18,09:48:53,CBE003,5,2228.4
R1_D1_026,09:50:29,09:51:04,CBE002,6,2735.6
R1_D1_026,09:52:42,09:52:42,CBE001,7,3254.2
R1_D0_027,09:40:00,09:40:00,CBE001,1,0.0
R1_D0_027,09:41:38,09:42:13,CBE002,2,518.6
R1_D0_027,09:43:49,09:44:24,CBE003,3,1025.8
R1_D0_027,09:46:23,09:46:58,CBE004,4,1652.4
R1_D0_027,09:48:49,09:49:24,CBE005,5,2237.3
R1_D0_027,09:51:08,09:51:43,CBE006,6,2786.8
R1_D0_027,09:53:12,09:53:12,CBE007,7,3254.2
R1_D1_027,09:47:30,09:47:30,CBE007,1,0.0
R1_D1_027,09:48:59,09:49:34,CBE006,2,467.4
R1_D1_027,09:51:18,09:51:53,CBE005,3,1016.9
R1_D1_027,09:53:44,09:54:19,CBE004,4,1601.8
R1_D1_027,09:56:18,09:56:53,CBE003,5,2228.4
R1_D1_027,09:58:29,09:59:04,CBE002,6,2735.6
R1_D1_027,10:00:42,10:00:42,CBE001,7,3254.2
R1_D0_028,09:48:00,09:48:00,CBE001,1,0.0
R1_D0_028,09:49:38,09:50:13,CBE002,2,518.6
R1_D0_028,09:51:49,09:52:24,CBE003,3,1025.8
R1_D0_028,09:54:23,09:54:58,CBE004,4,1652.4
R1_D0_028,09:56:49,09:57:24,CBE005,5,2237.3
R1_D0_028,09:59:08,09:59:43,CBE006,6,2786.8
R1_D0_028,10:01:12,10:01:12,CBE007,7,3254.2
R1_D1_028,09:55:30,09:55:30,CBE007,1,0.0
R1_D1_028,09:56:59,09:57:34,CBE006,2,467.4
R1_D1_028,09:59:18,09:59:53,CBE005,3,1016.9
R1_D1_028,10:01:44,10:02:19,CBE004,4,1601.8
R1_D1_028,10:04:18,10:04:53,CBE003,5,2228.4
R1_D1_028,10:06:29,10:07:04,CBE002,6,2735.6
R1_D1_028,10:08:42,10:08:42,CBE001,7,3254.2
R1_D0_029,09:56:00,09:56:00,CBE001,1,0.0
R1_D0_029,09:57:38,09:58:13,CBE002,2,518.6
R1_D0_029,09:59:49,10:00:24,CBE003,3,1025.8
R1_D0_029,10:02:23,10:02:58,CBE004,4,1652.4
R1_D0_029,10:04:49,10:05:24,CBE005,5,2237.3
R1_D0_029,10:07:08,10:07:43,CBE006,6,2786.8
R1_D0_029,10:09:12,10:09:12,CBE007,7,3254.2
R1_D1_029,10:03:30,10:03:30,CBE007,1,0.0
R1_D1_029,10:04:59,10:05:34,CBE006,2,467.4
R1_D1_029,10:07:18,10:07:53,CBE005,3,1016.9
R1_D1_029,10:09:44,10:10:19,CBE004,4,1601.8
R1_D1_029,10:12:18,10:12:53,CBE003,5,2228.4
R1_D1_029,10:14:29,10:15:04,CBE002,6,2735.6
R1_D1_029,10:16:42,10:16:42,CBE001,7,3254.2
R1_D0_030,10:04:00,10:04:00,CBE001,1,0.0
R1_D0_030,10:05:38,10:06:13,CBE002,2,518.6
R1_D0_030,10:07:49,10:08:24,CBE003,3,1025.8
R1_D0_030,10:10:23,10:10:58,CBE004,4,1652.4
R1_D0_030,10:12:49,10:13:24,CBE005,5,2237.3
R1_D0_030,10:15:08,10:15:43,CBE006,6,2786.8
R1_D0_030,10:17:12,10:17:12,CBE007,7,3254.2
R1_D1_030,10:18:30,10:18:30,CBE007,1,0.0
R1_D1_030,10:19:59,10:20:34,CBE006,2,467.4
R1_D1_030,10:22:18,10:22:53,CBE005,3,1016.9
R1_D1_030,10:24:44,10:25:19,CBE004,4,1601.8
R1_D1_030,10:27:18,10:27:53,CBE003,5,2228.4
R1_D1_030,10:29:29,10:30:04,CBE002,6,2735.6
R1_D1_030,10:31:42,10:31:42,CBE001,7,3254.2
R1_D0_031,10:19:00,10:19:00,CBE001,1,0.0
R1_D0_031,10:20:38,10:21:13,CBE002,2,518.6
R1_D0_031,10:22:49,10:23:24,CBE003,3,1025.8
R1_D0_031,10:25:23,10:25:58,CBE004,4,1652.4
R1_D0_031,10:27:49,10:28:24,CBE005,5,2237.3
R1_D0_031,10:30:08,10:30:43,CBE006,6,2786.8
R1_D0_031,10:32:12,10:32:12,CBE007,7,3254.2
R1_D1_031,10:33:30,10:33:30,CBE007,1,0.0
R1_D1_031,10:34:59,10:35:34,CBE006,2,467.4
R1_D1_031,10:37:18,10:37:53,CBE005,3,1016.9
R1_D1_031,10:39:44,10:40:19,CBE004,4,1601.8
R1_D1_031,10:42:18,10:42:53,CBE003,5,2228.4
R1_D1_031,10:44:29,10:45:04,CBE002,6,2735.6
R1_D1_031,10:46:42,10:46:42,CBE001,7,3254.2
R1_D0_032,10:34:00,10:34:00,CBE001,1,0.0
R1_D0_032,10:35:38,10:36:13,CBE002,2,518.6
R1_D0_032,10:37:49,10:38:24,CBE003,3,1025.8
R1_D0_032,10:40:23,10:40:58,CBE004,4,1652.4
R1_D0_032,10:42:49,10:43:24,CBE005,5,2237.3
